"","setname","pvalue","estimate","exp","BH"
"164","GO_DNA_DOUBLE_STRAND_BREAK_PROCESSING",0.365707824420779,0,"Down",1
"165","GO_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR",0.073441456480498,2.4270160832242,"UP",0.590574790797244
"166","GO_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR",0.238872548225151,0.241026495137143,"Down",0.95349379711938
"167","GO_DNA_STRAND_RENATURATION",0.0293466277375865,Inf,"UP",0.361630730045292
"168","GO_DNA_STRAND_RENATURATION",1,0,"Down",1
"169","GO_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC",0.103591017403655,2.76923365851301,"UP",0.695413947550942
"170","GO_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC",0.229792371509405,0,"Down",0.940445368786747
"171","GO_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",0.431120009954933,2.41844603810298,"UP",1
"172","GO_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",1,0,"Down",1
"173","GO_SISTER_CHROMATID_SEGREGATION",0.0118421878649515,1.97283699377004,"UP",0.223598469687035
"174","GO_SISTER_CHROMATID_SEGREGATION",0.000235873621983889,0.134489704750733,"Down",0.0148294670823936
"175","GO_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS",1,0,"UP",1
"176","GO_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS",0.171379605826907,Inf,"Down",0.840812004513094
"177","GO_CELL_MORPHOGENESIS",2.13152186144345e-07,0.364971846181058,"UP",8.75714441555427e-05
"178","GO_CELL_MORPHOGENESIS",1.05474888315135e-06,1.94952066243525,"Down",0.000277777584073013
"179","GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION",1.21274691205397e-05,0.359942708568844,"UP",0.00159693891457773
"180","GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION",6.39373898765093e-05,1.8941905000894,"Down",0.00563597291320239
"181","GO_CYTOKINESIS",0.266046385773039,1.45586389498049,"UP",1
"182","GO_CYTOKINESIS",1,1.01208398193859,"Down",1
"183","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS",0.581608948696032,0.750398687058653,"UP",1
"184","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS",0.0931413120979532,0.400561908738676,"Down",0.670630505824099
"185","GO_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS",0.431120009954933,2.41844603810298,"UP",1
"186","GO_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS",1,0,"Down",1
"187","GO_MITOCHONDRIAL_RNA_METABOLIC_PROCESS",5.60121721297756e-07,14.6624392943787,"UP",0.000166753918824616
"188","GO_MITOCHONDRIAL_RNA_METABOLIC_PROCESS",0.0916542501289058,0,"Down",0.66307667954472
"189","GO_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS",1,0,"UP",1
"190","GO_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS",1,0,"Down",1
"191","GO_MITOCHONDRIAL_RNA_PROCESSING",0.0293466277375865,Inf,"UP",0.361630730045292
"192","GO_MITOCHONDRIAL_RNA_PROCESSING",1,0,"Down",1
"193","GO_MITOCHONDRIAL_RNA_3_END_PROCESSING",0.171379605826907,Inf,"UP",0.840812004513094
"194","GO_MITOCHONDRIAL_RNA_3_END_PROCESSING",1,0,"Down",1
"195","GO_RNA_5_END_PROCESSING",0.343466914590231,1.93549636170368,"UP",1
"196","GO_RNA_5_END_PROCESSING",0.61148604295643,0,"Down",1
"197","GO_RRNA_5_END_PROCESSING",0.171379605826907,Inf,"UP",0.840812004513094
"198","GO_RRNA_5_END_PROCESSING",1,0,"Down",1
"199","GO_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY",1,0,"UP",1
"200","GO_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY",1,0,"Down",1
"201","GO_RESPONSE_TO_ACID_CHEMICAL",0.222693733260229,0.493924271974457,"UP",0.940445368786747
"202","GO_RESPONSE_TO_ACID_CHEMICAL",0.540607342966126,1.28233464043006,"Down",1
"203","GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY",1,0,"UP",1
"204","GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY",1,0,"Down",1
"205","GO_REPLICATIVE_CELL_AGING",0.00502107568697263,Inf,"UP",0.128006242134417
"206","GO_REPLICATIVE_CELL_AGING",1,0,"Down",1
"207","GO_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA",0.0175091934578125,14.5396761500188,"UP",0.273724392701967
"208","GO_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA",1,0,"Down",1
"209","GO_SKELETAL_SYSTEM_DEVELOPMENT",0.00368941968058949,0.462599397597622,"UP",0.108045878321582
"210","GO_SKELETAL_SYSTEM_DEVELOPMENT",0.000804602105269408,1.90564785981337,"Down",0.0359791167679662
"211","GO_OSSIFICATION",0.0154454386823939,0.500453783493688,"UP",0.264620685082348
"212","GO_OSSIFICATION",0.00176977972154853,1.8893335620299,"Down",0.0643448053806193
"213","GO_NEUROTRANSMITTER_UPTAKE",0.684299471272406,1.20909940548882,"UP",1
"214","GO_NEUROTRANSMITTER_UPTAKE",0.075850966532541,3.23136891191456,"Down",0.590574790797244
